rank,symbol,company_name,current_price,change_percent,volume,turnover,market,quote_currency,source_url,crawl_timestamp
39,CRWV,"CoreWeave, Inc.",81.47,1.0,29380000.0,2390000000.0,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
40,MTCH,"Match Group, Inc.",31.06,-1.3,76580000.0,2380000000.0,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
41,RKLB,Rocket Lab Corporation,67.23,-6.53,35250000.0,2370000000.0,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
42,EXAS,Exact Sciences Corporation,104.91,0.95,21560000.0,2260000000.0,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
43,MRVL,"Marvell Technology, Inc.",87.91,-1.81,25570000.0,2250000000.0,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
44,ADI,"Analog Devices, Inc.",309.43,-0.33,7030000.0,2180000000.0,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
45,PEP,"PepsiCo, Inc.",150.04,-1.77,14480000.0,2170000000.0,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
46,INTU,Intuit Inc.,455.56,0.07,4720000.0,2150000000.0,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
47,GILD,"Gilead Sciences, Inc.",137.21,-2.76,15520000.0,2130000000.0,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
48,APP,Applovin Corporation,442.39,0.56,4770000.0,2109999999.9999998,NASDAQ,USD,https://www.tradingview.com/markets/stocks-usa/market-movers-active/,2026-03-23T18:49:49
